orgao_emissor;tipo_de_documento;fornecedor_cnpj_cpf;fornecedor_nome_empresarial;numero;serie;sequencial;natureza;indicador_de_orcamento;item_da_nota_fiscal;codigo_do_item;desc_do_item_de_material;desc_da_unid_de_fornecimento;unid_orcamentaria;elemento_item_de_despesa;qtde_na_nota_fiscal;valor_unitario_r;valor_total_r
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;25.294.299/0001-65;GJO COMERCIO E REPRESENTACOES LTDA;286417;;1;Consumo;Despesa orçamentária;1;1428845;"CURATIVO DE CARVAO ATIVADO -  TIPO:   NAO RECORTAVEL,FLEXIVEL,ATOXICO E  HIPOALERGENICO; COMPOSICAO:   MALHA DE FIBRAS DE NYLON NAO ADERENTE; MEDIDAS:   APROXIMADAMENTE 6,5CM X 10,5CM;";1,00 UNIDADE;2271;3010;10,0;19,86;198,6
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;25.294.299/0001-65;GJO COMERCIO E REPRESENTACOES LTDA;286417;;1;Consumo;Despesa orçamentária;2;1429086;"CURATIVO DE CARVAO ATIVADO -  TIPO:   NAO RECORTAVEL, FLEXIVEL, ATOXICO E HIPOALERGENICO; COMPOSICAO:   MALHA DE FIBRAS DE NYLON NAO ADERENTE; MEDIDAS:   APROXIMADAMENTE 10,5 CM X 10,5 CM;";1,00 UNIDADE;2271;3010;20,0;25,0;500,0
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;25.294.299/0001-65;GJO COMERCIO E REPRESENTACOES LTDA;286417;;1;Consumo;Despesa orçamentária;3;1640054;"CURATIVO -  APRESENTACAO:   TELA DE MALHA IMPREGNADA COM PETROLATUM; MEDIDA:   7,5 CM X 7,5 CM, APROXIMADAMENTE;";1,00 UNIDADE;2271;3010;50,0;2,6;130,0
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Outros;02.357.251/0001-53;LIFEMED INDUSTRIAL DE EQUIPAMENTOS E ARTIGOS MEDICOS E HOSPITALARES S.A.;144305;;1;Consumo;Despesa orçamentária;1;1927590;"EQUIPO -  MATERIA-PRIMA:   PVC OU POLIURETANO; TIPO:   PARENTERAL PARA USO EM BOMBA DE INFUSAO; APLICACAO:   ADMINISTRACAO DE SOLUCOES;";1,00 UNIDADE;2271;3010;2166,0;20,97;45421,02
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Outros;02.357.251/0001-53;LIFEMED INDUSTRIAL DE EQUIPAMENTOS E ARTIGOS MEDICOS E HOSPITALARES S.A.;144305;;1;Consumo;Despesa orçamentária;2;1927604;"EQUIPO -  TIPO:   NUTRICAO ENTERAL EM BOMBA DE INFUSAO; MATERIA-PRIMA:   PVC COLORIDO; APLICACAO:   ADMINISTRACAO DE SOLUCOES;";1,00 UNIDADE;2271;3010;1088,0;23,07;25100,16
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;05.818.423/0001-37;AMCOR FLEXIBLES BRASIL LTDA;272446;;1;Consumo;Despesa orçamentária;1;1701533;"EMBALAGEM DESCARTAVEL PARA ESTERILIZACAO -   MATERIA-PRIMA:   PAPEL GRAU CIRURGICO MINIMO 60 G/M2; MATERIA-PRIMA 2:   FILME LAMINADO POLIESTER OU PE/PP MINIMO 54 G/M2; DIMENSOES (L X C ):   8 CM X 100 M; TIPO ESTERILIZACAO:   VAPOR UMIDO; INDICADOR:   INDICADOR QUIMICO PARA VAPOR IMPRESSO NA EMBALAGEM; APRESENTACAO:   ROLO 100 M;";ROLO;2271;3010;3,0;28,24;84,72
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;05.818.423/0001-37;AMCOR FLEXIBLES BRASIL LTDA;272446;;1;Consumo;Despesa orçamentária;2;1701541;"EMBALAGEM DESCARTAVEL PARA ESTERILIZACAO -   MATERIA-PRIMA:   PAPEL GRAU CIRURGICO MINIMO 60 G/M2; MATERIA-PRIMA 2:   FILME LAMINADO POLIESTER OU PE/PP MINIMO 54 G/M2; DIMENSOES (L X C ):   15 CM X 100 M; TIPO ESTERILIZACAO:   VAPOR UMIDO; INDICADOR:   INDICADOR QUIMICO PARA VAPOR IMPRESSO NA EMBALAGEM; APRESENTACAO:   ROLO 100 M;";ROLO;2271;3010;2,0;52,96;105,92
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;05.818.423/0001-37;AMCOR FLEXIBLES BRASIL LTDA;272446;;1;Consumo;Despesa orçamentária;3;1722891;"EMBALAGEM DESCARTAVEL PARA ESTERILIZACAO -   MATERIA-PRIMA:   SMS 100% POLIPROPILENO 45 G/M2; MATERIA-PRIMA 2:   .; DIMENSOES (L X C ):   50 CM X 50 CM ; TIPO ESTERILIZACAO:   COMPATIVEL COM A MATERIA-PRIMA; INDICADOR:   NAO POSSUI; APRESENTACAO:   FOLHA 50 CM;";FOLHA;2271;3010;1080,0;0,32;345,6
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;05.818.423/0001-37;AMCOR FLEXIBLES BRASIL LTDA;272446;;1;Consumo;Despesa orçamentária;4;1722905;"EMBALAGEM DESCARTAVEL PARA ESTERILIZACAO -   MATERIA-PRIMA:   SMS 100% POLIPROPILENO 45 G/M2; MATERIA-PRIMA 2:   .; DIMENSOES (L X C ):   75 CM X 75 CM; TIPO ESTERILIZACAO:   COMPATIVEL COM A MATERIA-PRIMA; INDICADOR:   NAO POSSUI; APRESENTACAO:   FOLHA 75 CM;";FOLHA;2271;3010;600,0;0,71;426,0
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;05.818.423/0001-37;AMCOR FLEXIBLES BRASIL LTDA;272446;;1;Consumo;Despesa orçamentária;5;1701550;"EMBALAGEM DESCARTAVEL PARA ESTERILIZACAO -   MATERIA-PRIMA:   PAPEL GRAU CIRURGICO MINIMO 60 G/M2; MATERIA-PRIMA 2:   FILME LAMINADO POLIESTER OU PE/PP MINIMO 54 G/M2; DIMENSOES (L X C ):   25 CM X 100 M; TIPO ESTERILIZACAO:   VAPOR UMIDO; INDICADOR:   INDICADOR QUIMICO PARA VAPOR IMPRESSO NA EMBALAGEM; APRESENTACAO:   ROLO 100 M;";ROLO;2271;3010;2,0;88,26;176,52
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;46.797.348/0001-52;DINAMICA DISTRIBUICAO LTDA;520;;1;Consumo;Despesa orçamentária;1;611603;"PINCA ENDOSCOPICA -  FINALIDADE:   BIOPSIA COLONOSCOPICA DE MULTIPLOS FRAGMENTOS; MEDIDAS:   2.2MM DE DIAMETRO X 240CM DE COMPRIMENTO; MATERIA PRIMA:   TEFLON;";1,00 UNIDADE;2271;3010;10,0;1200,0;12000,0
